# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3800.148  1.0079241732294577e-20  1.0062084249650686e-20
3800.152  1.016872227502834e-20  1.0151221725689141e-20
3800.156  1.0261383572624735e-20  1.0243505410622252e-20
3800.16  1.0357308517196736e-20  1.0339017081484819e-20
3800.164  1.0456587983622345e-20  1.043784639855745e-20
3800.168  1.0559321092853541e-20  1.0540091161383003e-20
3800.172  1.066561548756828e-20  1.0645857577784655e-20
3800.176  1.0775587624151642e-20  1.0755260972770313e-20
3800.18  1.0889363086008171e-20  1.0868424388255167e-20
3800.184  1.1007076923284917e-20  1.098548150559434e-20
3800.188  1.1128874024031885e-20  1.1106575270273286e-20
3800.192  1.1254909521749863e-20  1.1231858736293108e-20
3800.196  1.1385349243203791e-20  1.1361495511744012e-20
3800.2  1.1520370200058753e-20  1.1495660249417464e-20
3800.204  1.1660161126734648e-20  1.1634539185147256e-20
3800.208  1.1804923065908413e-20  1.177833072566316e-20
3800.212  1.1954870002461533e-20  1.1927246087210432e-20
3800.216  1.2110229545176373e-20  1.208150998478308e-20
3800.22  1.2271243655110291e-20  1.2241361371584565e-20
3800.224  1.243816941832225e-20  1.2407053681300226e-20
3800.228  1.261127985959894e-20  1.2578857870871407e-20
3800.232  1.2790864793091869e-20  1.2757059947653759e-20
3800.236  1.2977231703801713e-20  1.2941964146468253e-20
3800.24  1.3170706652929719e-20  1.3133893307761545e-20
